<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
10/09/2018,103510,103520,103450,103450
10/09/2018,103430,103520,103380,103520
10/09/2018,103470,103490,103450,103490
10/09/2018,103470,103470,103420,103440
10/09/2018,103460,103510,103440,103480
10/09/2018,103480,103520,103460,103520
10/09/2018,103530,103530,103490,103490
10/09/2018,103440,103450,103440,103450
10/09/2018,103420,103430,103400,103430
10/09/2018,103450,103500,103450,103470
10/09/2018,103470,103470,103450,103450
10/09/2018,103420,103420,103420,103420
10/09/2018,103480,103480,103470,103470
10/09/2018,103480,103480,103440,103440
10/09/2018,103450,103450,103450,103450
10/09/2018,103450,103450,103440,103440
10/09/2018,103430,103430,103340,103380
10/09/2018,103360,103360,103220,103220
10/09/2018,103220,103270,103220,103270
10/09/2018,103290,103320,103270,103270
10/09/2018,103280,103290,103280,103290
10/09/2018,103260,103300,103260,103300
10/09/2018,103250,103250,103170,103200
10/09/2018,103250,103320,103250,103320
10/09/2018,103270,103300,103270,103300
10/09/2018,103300,103300,103230,103250
10/09/2018,103270,103300,103270,103300
10/09/2018,103300,103300,103280,103280
10/09/2018,103260,103300,103260,103300
10/09/2018,103290,103300,103290,103300
10/09/2018,103300,103340,103300,103340
10/09/2018,103340,103350,103340,103350
10/09/2018,103350,103350,103340,103350
10/09/2018,103350,103350,103350,103350
10/09/2018,103310,103370,103310,103340
10/09/2018,103340,103340,103290,103290
10/09/2018,103280,103280,103210,103240
10/09/2018,103220,103220,103170,103170
10/09/2018,103170,103220,103170,103220
10/09/2018,103240,103240,103180,103180
10/09/2018,103160,103160,103100,103120
10/09/2018,103150,103160,103150,103160
10/09/2018,103180,103180,103170,103170
10/09/2018,103160,103160,103080,103100
10/09/2018,103100,103160,103100,103160
10/09/2018,103180,103200,103180,103200
10/09/2018,103190,103190,103170,103170
10/09/2018,103160,103300,103160,103300
10/09/2018,103290,103300,103290,103300
10/09/2018,103300,103320,103300,103320
10/09/2018,103320,103340,103320,103340
10/09/2018,103320,103330,103320,103330
10/09/2018,103280,103280,103200,103230
10/09/2018,103220,103220,103200,103200
10/09/2018,103160,103160,103160,103160
10/09/2018,103150,103170,103130,103170
10/09/2018,103190,103200,103180,103180
10/09/2018,103170,103170,103170,103170
10/09/2018,103210,103210,103210,103210
10/09/2018,103250,103260,103250,103260
10/09/2018,103210,103210,103210,103210
10/09/2018,103220,103240,103220,103240
10/09/2018,103250,103250,103210,103240
10/09/2018,103230,103230,103230,103230
10/09/2018,103290,103290,103280,103280
10/09/2018,103280,103280,103280,103280
10/09/2018,103240,103240,103240,103240
10/09/2018,103230,103230,103200,103200
10/09/2018,103290,103290,103290,103290
10/09/2018,103290,103290,103280,103280
10/09/2018,103280,103280,103280,103280
10/09/2018,103190,103200,103190,103200
10/09/2018,103200,103200,103200,103200
10/09/2018,103150,103150,103080,103120
10/09/2018,103100,103140,103080,103140
10/09/2018,103170,103190,103170,103190
10/09/2018,103210,103210,103210,103210
10/09/2018,103220,103220,103220,103220
10/09/2018,103180,103180,103180,103180
10/09/2018,103190,103220,103190,103220
10/09/2018,103230,103230,103230,103230
10/09/2018,103260,103390,103260,103390
10/09/2018,103380,103380,103380,103380
10/09/2018,103390,103400,103370,103370
10/09/2018,103350,103350,103350,103350
10/09/2018,103360,103360,103360,103360
10/09/2018,103370,103370,103370,103370
10/09/2018,103370,103370,103340,103340
10/09/2018,103380,103380,103380,103380
10/09/2018,103380,103380,103360,103360
10/09/2018,103330,103330,103320,103320
10/09/2018,103310,103310,103300,103300
10/09/2018,103310,103330,103310,103330
10/09/2018,103300,103310,103300,103310
10/09/2018,103330,103330,103330,103330
10/09/2018,103340,103350,103340,103350
10/09/2018,103340,103340,103340,103340
10/09/2018,103320,103320,103320,103320
10/09/2018,103320,103320,103320,103320
10/09/2018,103350,103350,103350,103350
10/09/2018,103350,103360,103350,103360
10/09/2018,103340,103340,103340,103340
10/09/2018,103320,103320,103320,103320
10/09/2018,103350,103350,103350,103350
10/09/2018,103300,103300,103300,103300
10/09/2018,103310,103310,103310,103310
10/09/2018,103300,103300,103290,103290
10/09/2018,103300,103300,103300,103300
10/09/2018,103330,103330,103330,103330
10/09/2018,103310,103310,103310,103310
10/09/2018,103280,103280,103280,103280
10/09/2018,103290,103290,103280,103280
10/09/2018,103290,103290,103280,103280
10/09/2018,103290,103300,103290,103300
10/09/2018,103310,103310,103310,103310
10/09/2018,103310,103320,103310,103320
10/09/2018,103340,103340,103310,103310
10/09/2018,103300,103300,103300,103300
10/09/2018,103300,103300,103300,103300
10/09/2018,103300,103300,103260,103290
10/09/2018,103330,103330,103330,103330
10/09/2018,103310,103310,103310,103310
10/09/2018,103310,103310,103310,103310
10/09/2018,103280,103280,103280,103280
10/09/2018,103260,103280,103260,103280
10/09/2018,103290,103290,103290,103290
10/09/2018,103280,103280,103280,103280
10/09/2018,103280,103330,103280,103330
10/09/2018,103350,103480,103350,103450
10/09/2018,103490,103490,103420,103420
10/09/2018,103460,103460,103370,103370
10/09/2018,103360,103360,103350,103360
10/09/2018,103360,103360,103330,103350
10/09/2018,103350,103350,103350,103350
10/09/2018,103320,103320,103320,103320
10/09/2018,103310,103390,103310,103390
10/09/2018,103390,103390,103320,103320
10/09/2018,103350,103350,103350,103350
10/09/2018,103310,103350,103310,103350
10/09/2018,103360,103360,103340,103350
10/09/2018,103350,103350,103350,103350
10/09/2018,103350,103370,103350,103350
10/09/2018,103350,103350,103340,103340
10/09/2018,103320,103340,103320,103320
10/09/2018,103310,103330,103310,103330
10/09/2018,103310,103310,103300,103300
10/09/2018,103300,103300,103300,103300
10/09/2018,103330,103330,103330,103330
