<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;210218;000000;270.35;272.46;266.21;266.99;58686040
SBER;D;210219;000000;266.12;272.81;264.19;271.34;59193580
SBER;D;210220;000000;271;271;269.02;270.51;8738250
SBER;D;210222;000000;270.37;274.46;268.12;273.71;48095910
SBER;D;210224;000000;272.12;272.75;269.42;271.9;64101830
SBER;D;210225;000000;273.6;276.48;270.65;270.71;79566390
SBER;D;210226;000000;268;272.49;266.43;270.17;74446940
SBER;D;210301;000000;273;274.73;271.13;273.58;35741070
SBER;D;210302;000000;271.89;280;271.6;279.1;71481180
SBER;D;210303;000000;281.7;283.83;277.63;278.01;64113880
SBER;D;210304;000000;278.53;281.96;273.63;274.75;91841080
SBER;D;210305;000000;276.12;278.98;272.76;277.5;83301590
SBER;D;210309;000000;278.71;286.38;277.56;285.79;72592390
SBER;D;210310;000000;285.23;288;281;282.24;55067560
SBER;D;210311;000000;283.86;286.38;282.3;286;47203100
SBER;D;210312;000000;286.3;287.49;282.82;284.93;51362640
SBER;D;210315;000000;286.07;292.92;285.28;292.74;67756210
SBER;D;210316;000000;293.07;293.88;288.61;292.33;53891160
SBER;D;210317;000000;292.38;293.25;279.6;283.35;110247040
SBER;D;210318;000000;284.06;285.79;278.24;279.25;74060790
SBER;D;210319;000000;279;286.31;278.03;285.47;84214320
SBER;D;210322;000000;285;291.2;283.08;288.65;62697960
SBER;D;210323;000000;287.6;288.3;282.11;282.6;70668340
SBER;D;210324;000000;283.3;288;282.25;285.79;46388650
SBER;D;210325;000000;286.33;287.03;283.85;286.66;35114120
SBER;D;210326;000000;288.6;292.75;288.32;291.22;55889260
SBER;D;210329;000000;289.72;294.09;289.26;293.3;43631060
SBER;D;210330;000000;294.6;295.72;291.5;293.25;38637210
